age,m,f,hm,hf,wm,wf,bm,bf
0,76.1,81.1,79.1,84.3,76.4,81.2,71.9,78.5
1,75.6,80.5,78.5,83.7,75.8,80.6,71.8,78.2
2,74.6,79.6,77.5,82.7,74.8,79.6,70.9,77.3
3,73.6,78.6,76.6,81.7,73.8,78.6,69.9,76.3
4,72.7,77.6,75.6,80.8,72.8,77.6,68.9,75.3
5,71.7,76.6,74.6,79.8,71.8,76.7,67.9,74.3
6,70.7,75.6,73.6,78.8,70.9,75.7,66.9,73.3
7,69.7,74.6,72.6,77.8,69.9,74.7,66.0,72.4
8,68.7,73.6,71.6,76.8,68.9,73.7,65.0,71.4
9,67.7,72.6,70.6,75.8,67.9,72.7,64.0,70.4
10,66.7,71.6,69.6,74.8,66.9,71.7,63.0,69.4
11,65.7,70.6,68.6,73.8,65.9,70.7,62.0,68.4
12,64.7,69.6,67.6,72.8,64.9,69.7,61.0,67.4
13,63.7,68.7,66.6,71.8,63.9,68.7,60.0,66.4
14,62.7,67.7,65.7,70.8,62.9,67.7,59.0,65.4
15,61.8,66.7,64.7,69.8,61.9,66.7,58.1,64.4
16,60.8,65.7,63.7,68.9,61.0,65.7,57.1,63.5
17,59.8,64.7,62.7,67.9,60.0,64.8,56.2,62.5
18,58.9,63.7,61.8,66.9,59.0,63.8,55.2,61.5
19,57.9,62.7,60.8,65.9,58.1,62.8,54.3,60.5
20,57.0,61.8,59.9,64.9,57.1,61.8,53.4,59.5
21,56.0,60.8,58.9,64.0,56.2,60.8,52.5,58.6
22,55.1,59.8,58.0,63.0,55.3,59.9,51.6,57.6
23,54.2,58.9,57.0,62.0,54.3,58.9,50.7,56.6
24,53.3,57.9,56.1,61.0,53.4,57.9,49.8,55.7
25,52.4,56.9,55.2,60.1,52.5,57.0,48.9,54.7
26,51.4,56.0,54.2,59.1,51.6,56.0,48.0,53.8
27,50.5,55.0,53.3,58.1,50.7,55.0,47.1,52.8
28,49.6,54.0,52.4,57.1,49.7,54.1,46.2,51.9
29,48.7,53.1,51.4,56.2,48.8,53.1,45.3,50.9
30,47.8,52.1,50.5,55.2,47.9,52.2,44.5,49.9
31,46.9,51.2,49.6,54.2,47.0,51.2,43.6,49.0
32,46.0,50.2,48.6,53.2,46.1,50.2,42.7,48.1
33,45.0,49.2,47.7,52.3,45.2,49.3,41.8,47.1
34,44.1,48.3,46.8,51.3,44.3,48.3,40.9,46.2
35,43.2,47.3,45.8,50.3,43.4,47.4,40.0,45.2
36,42.3,46.4,44.9,49.4,42.5,46.4,39.2,44.3
37,41.4,45.4,44.0,48.4,41.5,45.5,38.3,43.4
38,40.5,44.5,43.0,47.4,40.6,44.6,37.4,42.4
39,39.6,43.6,42.1,46.5,39.7,43.6,36.5,41.5
40,38.7,42.6,41.2,45.5,38.8,42.7,35.7,40.6
41,37.8,41.7,40.3,44.5,37.9,41.7,34.8,39.7
42,36.9,40.7,39.3,43.6,37.0,40.8,33.9,38.8
43,36.0,39.8,38.4,42.6,36.1,39.8,33.0,37.8
44,35.1,38.9,37.5,41.7,35.2,38.9,32.2,36.9
45,34.2,37.9,36.6,40.7,34.3,38.0,31.3,36.0
46,33.3,37.0,35.7,39.8,33.4,37.1,30.5,35.1
47,32.4,36.1,34.8,38.8,32.5,36.1,29.6,34.2
48,31.5,35.2,33.8,37.9,31.6,35.2,28.8,33.4
49,30.7,34.3,32.9,36.9,30.8,34.3,27.9,32.5
