UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2017,999,324076093,159588735,164487358,123385127,125543505,20679826,22506820,2056718,2022916,8834104,9692863,392398,380999,4240562,4340255,127153500,129379203,22549994,24468214,3358447,3389577,10403715,11264683,773914,767580,130273257,135768054,97565526,100298583,19318533,21094630,1181231,1216522,8548618,9405802,287717,283582,3371632,3468935,100559451,103360289,20793011,22650313,2111996,2214276,9878502,10736963,587113,588571,29315478,28719304,25819601,25244922,1361293,1412190,875487,806394,285486,287061,104681,97417,868930,871320,26594049,26018914,1756983,1817901,1246451,1175301,525213,527720,186801,179009
R,1,2017,0,3937660,2014191,1923469,1453299,1383123,301891,293401,32368,31115,99827,93899,5946,5657,120860,116274,1564639,1490229,367092,356670,56590,54318,144216,136218,14459,13777,1493335,1423127,1007843,955622,273933,266365,16784,16003,94061,88384,4074,3857,96640,92896,1097296,1041591,326963,317824,32635,31136,130978,123553,10345,9834,520856,500342,445456,427501,27958,27036,15584,15112,5766,5515,1872,1800,24220,23378,467343,448638,40129,38846,23955,23182,13238,12665,4114,3943
R,1,2017,1,3988857,2040005,1948852,1469297,1398400,305178,297056,32694,31415,104664,98745,6049,5812,122123,117424,1581768,1506543,370958,360884,57140,54828,149638,141564,14663,14019,1511301,1441078,1016926,964371,276864,269647,16919,16129,98803,93166,4161,3984,97628,93781,1107255,1051133,330325,321515,32896,31378,136243,128774,10516,10033,528704,507774,452371,434029,28314,27409,15775,15286,5861,5579,1888,1828,24495,23643,474513,455410,40633,39369,24244,23450,13395,12790,4147,3986
R,1,2017,2,4016091,2053514,1962577,1477159,1405465,306738,299284,32797,31974,109048,103297,5999,5823,121773,116734,1589262,1512938,371985,362467,57252,55444,154171,145950,14676,14012,1528384,1457323,1027941,973685,278084,271751,17153,16599,103443,97888,4202,4059,97561,93341,1118161,1060002,331108,323092,33219,31952,141177,133451,10647,10146,525130,505254,449218,431780,28654,27533,15644,15375,5605,5409,1797,1764,24212,23393,471101,452936,40877,39375,24033,23492,12994,12499,4029,3866
R,1,2017,3,3975655,2033688,1941967,1463723,1392913,305762,297308,33320,31868,105344,99662,5790,5529,119749,114687,1573893,1498397,369650,359473,57626,55080,149759,141469,14506,13678,1513539,1443028,1018481,966106,277656,270250,17571,16767,99969,94485,4069,3835,95793,91585,1107017,1050718,329545,320741,33563,31988,136997,129246,10464,9781,520149,498939,445242,426807,28106,27058,15749,15101,5375,5177,1721,1694,23956,23102,466876,447679,40105,38732,24063,23092,12762,12223,4042,3897
R,1,2017,4,4007873,2047871,1960002,1473001,1405861,306592,298239,33041,31762,110092,104181,5884,5659,119261,114300,1582611,1510916,369802,359450,57336,55126,154707,146341,14628,13969,1524598,1454929,1023919,972452,278767,271347,17658,16999,104800,98971,4150,3944,95304,91216,1111886,1056655,329965,320959,33607,32317,142087,134084,10589,10039,523273,505073,449082,433409,27825,26892,15383,14763,5292,5210,1734,1715,23957,23084,470725,454261,39837,38491,23729,22809,12620,12257,4039,3930
R,1,2017,5,4017529,2054383,1963146,1486572,1416312,307001,298297,33153,31987,104030,98816,5637,5415,117990,112319,1595066,1519534,369851,358331,57567,55267,147546,140111,14243,13577,1524025,1452558,1029917,976847,279644,271851,17804,16950,98796,93808,3897,3738,93967,89364,1116708,1059338,330476,320382,33803,32165,134975,128122,10196,9682,530358,510588,456655,439465,27357,26446,15349,15037,5234,5008,1740,1677,24023,22955,478358,460196,39375,37949,23764,23102,12571,11989,4047,3895
R,1,2017,6,4080698,2084581,1996117,1510526,1442089,311435,302295,32418,31491,104796,100471,5776,5465,119630,114306,1620641,1547215,375060,363579,57337,55520,148729,141970,14457,13630,1540055,1471007,1039291,987751,284761,275969,17715,17339,99415,95475,3991,3809,94882,90664,1126988,1071450,336012,325309,33890,33005,135887,129987,10338,9789,544526,525110,471235,454338,26674,26326,14703,14152,5381,4996,1785,1656,24748,23642,493653,475765,39048,38270,23447,22515,12842,11983,4119,3841
R,1,2017,7,4012603,2046925,1965678,1472487,1407350,308380,300307,33000,31947,108516,105038,6147,5991,118395,115045,1581405,1513035,371952,362798,56966,55280,152119,146836,14543,14181,1519986,1457183,1022332,973339,279469,272147,17438,16951,102487,99181,4135,3985,94125,91580,1109382,1057860,330891,322650,32966,32171,138619,133951,10297,9984,526939,508495,450155,434011,28911,28160,15562,14996,6029,5857,2012,2006,24270,23465,472023,455175,41061,40148,24000,23109,13500,12885,4246,4197
R,1,2017,8,4119561,2102621,2016940,1516353,1447409,319549,311199,33490,32188,109477,106018,6305,6134,117447,113992,1624172,1552113,382750,373339,57395,55221,152196,146943,14806,14199,1563928,1499436,1054609,1004093,290044,282915,17716,17218,103460,100229,4254,4111,93845,90870,1141063,1087997,341504,333503,33317,32044,139134,134307,10508,9985,538693,517504,461744,443316,29505,28284,15774,14970,6017,5789,2051,2023,23602,23122,483109,464116,41246,39836,24078,23177,13062,12636,4298,4214
R,1,2017,9,4169491,2128782,2040709,1541126,1470845,320094,311993,34256,33368,111865,107130,6327,6121,115114,111252,1646680,1572794,381736,372400,58113,56373,153882,147153,14716,14078,1582898,1516099,1072032,1020331,291005,283893,17879,17775,105890,101552,4267,4080,91825,88468,1156642,1101691,341113,332865,33411,32653,140866,134815,10479,9918,545884,524610,469094,450514,29089,28100,16377,15593,5975,5578,2060,2041,23289,22784,490038,471103,40623,39535,24702,23720,13016,12338,4237,4160
R,1,2017,10,4168686,2129765,2038921,1548715,1477366,319043,309363,34616,32862,109535,105439,6152,6012,111704,107879,1651113,1576232,378194,367291,58018,55482,150685,144270,14372,13813,1588041,1518185,1082108,1029087,290726,281766,18103,17487,103611,99876,4188,4013,89305,85956,1164328,1108163,338956,329054,33384,32162,137948,132205,10224,9733,541724,520736,466607,448279,28317,27597,16513,15375,5924,5563,1964,1999,22399,21923,486785,468069,39238,38237,24634,23320,12737,12065,4148,4080
R,1,2017,11,4136806,2113599,2023207,1547949,1471269,310318,302874,33889,32961,108971,107322,6138,6089,106334,102692,1645310,1565205,365979,357145,56745,54844,148264,145070,13874,13460,1583355,1515390,1089815,1032502,283105,276624,17973,17701,103402,102096,4098,4163,84962,82304,1167914,1108027,328530,321006,32884,31965,136339,133795,9804,9657,530244,507817,458134,438767,27213,26250,15916,15260,5569,5226,2040,1926,21372,20388,477396,457178,37449,36139,23861,22879,11925,11275,4070,3803
