Data as of,Start Date,End Date,Sex,agename,age,total,covid
2/22/2021,1/1/2020,2/20/2021,Male,<1 year,0,11090,30
2/22/2021,1/1/2020,2/20/2021,Male,01 Years,1,792,7
2/22/2021,1/1/2020,2/20/2021,Male,02 Years,2,529,3
2/22/2021,1/1/2020,2/20/2021,Male,03 Years,3,426,2
2/22/2021,1/1/2020,2/20/2021,Male,04 Years,4,329,3
2/22/2021,1/1/2020,2/20/2021,Male,05 Years,5,317,5
2/22/2021,1/1/2020,2/20/2021,Male,06 Years,6,256,1
2/22/2021,1/1/2020,2/20/2021,Male,07 Years,7,250,4
2/22/2021,1/1/2020,2/20/2021,Male,08 Years,8,222,4
2/22/2021,1/1/2020,2/20/2021,Male,09 Years,9,245,4
2/22/2021,1/1/2020,2/20/2021,Male,10 Years,10,287,3
2/22/2021,1/1/2020,2/20/2021,Male,11 Years,11,323,5
2/22/2021,1/1/2020,2/20/2021,Male,12 Years,12,361,8
2/22/2021,1/1/2020,2/20/2021,Male,13 Years,13,526,5
2/22/2021,1/1/2020,2/20/2021,Male,14 Years,14,697,2
2/22/2021,1/1/2020,2/20/2021,Male,15 Years,15,942,7
2/22/2021,1/1/2020,2/20/2021,Male,16 Years,16,1327,7
2/22/2021,1/1/2020,2/20/2021,Male,17 Years,17,1735,17
2/22/2021,1/1/2020,2/20/2021,Male,18 Years,18,2448,16
2/22/2021,1/1/2020,2/20/2021,Male,19 Years,19,3013,44
2/22/2021,1/1/2020,2/20/2021,Male,20 Years,20,3158,40
2/22/2021,1/1/2020,2/20/2021,Male,21 Years,21,3605,49
2/22/2021,1/1/2020,2/20/2021,Male,22 Years,22,3708,54
2/22/2021,1/1/2020,2/20/2021,Male,23 Years,23,3923,76
2/22/2021,1/1/2020,2/20/2021,Male,24 Years,24,4157,88
2/22/2021,1/1/2020,2/20/2021,Male,25 Years,25,4403,82
2/22/2021,1/1/2020,2/20/2021,Male,26 Years,26,4612,110
2/22/2021,1/1/2020,2/20/2021,Male,27 Years,27,4966,144
2/22/2021,1/1/2020,2/20/2021,Male,28 Years,28,5352,137
2/22/2021,1/1/2020,2/20/2021,Male,29 Years,29,5625,188
2/22/2021,1/1/2020,2/20/2021,Male,30 Years,30,5927,184
2/22/2021,1/1/2020,2/20/2021,Male,31 Years,31,6017,247
2/22/2021,1/1/2020,2/20/2021,Male,32 Years,32,5888,235
2/22/2021,1/1/2020,2/20/2021,Male,33 Years,33,6130,271
2/22/2021,1/1/2020,2/20/2021,Male,34 Years,34,6229,301
2/22/2021,1/1/2020,2/20/2021,Male,35 Years,35,6348,332
2/22/2021,1/1/2020,2/20/2021,Male,36 Years,36,6524,345
2/22/2021,1/1/2020,2/20/2021,Male,37 Years,37,6933,412
2/22/2021,1/1/2020,2/20/2021,Male,38 Years,38,7008,441
2/22/2021,1/1/2020,2/20/2021,Male,39 Years,39,7529,476
2/22/2021,1/1/2020,2/20/2021,Male,40 Years,40,7726,494
2/22/2021,1/1/2020,2/20/2021,Male,41 Years,41,7674,608
2/22/2021,1/1/2020,2/20/2021,Male,42 Years,42,7689,640
2/22/2021,1/1/2020,2/20/2021,Male,43 Years,43,7956,647
2/22/2021,1/1/2020,2/20/2021,Male,44 Years,44,8067,772
2/22/2021,1/1/2020,2/20/2021,Male,45 Years,45,8620,889
2/22/2021,1/1/2020,2/20/2021,Male,46 Years,46,9084,936
2/22/2021,1/1/2020,2/20/2021,Male,47 Years,47,9995,1078
2/22/2021,1/1/2020,2/20/2021,Male,48 Years,48,11343,1247
2/22/2021,1/1/2020,2/20/2021,Male,49 Years,49,12883,1417
2/22/2021,1/1/2020,2/20/2021,Male,50 Years,50,13739,1568
2/22/2021,1/1/2020,2/20/2021,Male,51 Years,51,14185,1663
2/22/2021,1/1/2020,2/20/2021,Male,52 Years,52,15168,1751
2/22/2021,1/1/2020,2/20/2021,Male,53 Years,53,16303,1830
2/22/2021,1/1/2020,2/20/2021,Male,54 Years,54,18213,2094
2/22/2021,1/1/2020,2/20/2021,Male,55 Years,55,20658,2325
2/22/2021,1/1/2020,2/20/2021,Male,56 Years,56,22967,2670
2/22/2021,1/1/2020,2/20/2021,Male,57 Years,57,24335,2667
2/22/2021,1/1/2020,2/20/2021,Male,58 Years,58,26511,2949
2/22/2021,1/1/2020,2/20/2021,Male,59 Years,59,28782,3540
2/22/2021,1/1/2020,2/20/2021,Male,60 Years,60,30710,3579
2/22/2021,1/1/2020,2/20/2021,Male,61 Years,61,32660,3948
2/22/2021,1/1/2020,2/20/2021,Male,62 Years,62,34270,4380
2/22/2021,1/1/2020,2/20/2021,Male,63 Years,63,36502,4578
2/22/2021,1/1/2020,2/20/2021,Male,64 Years,64,37156,4669
2/22/2021,1/1/2020,2/20/2021,Male,65 Years,65,38148,5057
2/22/2021,1/1/2020,2/20/2021,Male,66 Years,66,39515,5324
2/22/2021,1/1/2020,2/20/2021,Male,67 Years,67,39896,5387
2/22/2021,1/1/2020,2/20/2021,Male,68 Years,68,40714,5671
2/22/2021,1/1/2020,2/20/2021,Male,69 Years,69,41477,5937
2/22/2021,1/1/2020,2/20/2021,Male,70 Years,70,42905,6399
2/22/2021,1/1/2020,2/20/2021,Male,71 Years,71,44494,6495
2/22/2021,1/1/2020,2/20/2021,Male,72 Years,72,47309,7106
2/22/2021,1/1/2020,2/20/2021,Male,73 Years,73,50973,7563
2/22/2021,1/1/2020,2/20/2021,Male,74 Years,74,44211,7041
2/22/2021,1/1/2020,2/20/2021,Male,75 Years,75,43664,6814
2/22/2021,1/1/2020,2/20/2021,Male,76 Years,76,47023,7284
2/22/2021,1/1/2020,2/20/2021,Male,77 Years,77,50858,7879
2/22/2021,1/1/2020,2/20/2021,Male,78 Years,78,48760,7639
2/22/2021,1/1/2020,2/20/2021,Male,79 Years,79,46976,7375
2/22/2021,1/1/2020,2/20/2021,Male,80 Years,80,46638,7403
2/22/2021,1/1/2020,2/20/2021,Male,81 Years,81,46959,7223
2/22/2021,1/1/2020,2/20/2021,Male,82 Years,82,47280,7322
2/22/2021,1/1/2020,2/20/2021,Male,83 Years,83,46937,7437
2/22/2021,1/1/2020,2/20/2021,Male,84 Years,84,46808,7133
2/22/2021,1/1/2020,2/20/2021,Male,85 Years and over,85,435317,62781
2/22/2021,1/1/2020,2/20/2021,Female,<1 year,0,8911,15
2/22/2021,1/1/2020,2/20/2021,Female,01 Years,1,604,4
2/22/2021,1/1/2020,2/20/2021,Female,02 Years,2,392,1
